iter	MultiClass
0	1.091592097
1	1.0841344
2	1.079376417
3	1.071096385
4	1.063104255
5	1.057816875
6	1.052766064
7	1.048530311
8	1.041697594
9	1.037311152
10	1.031885054
11	1.027359475
12	1.022233798
13	1.017184026
14	1.012256048
15	1.008299309
16	1.004749442
17	1.001488632
18	0.9977424712
19	0.9955951861
20	0.992473545
21	0.9898699664
22	0.98645883
23	0.9817664399
24	0.9776900477
25	0.9738808376
26	0.9695120469
27	0.9669046991
28	0.9650451447
29	0.9623164492
30	0.9593793384
31	0.9581620294
32	0.9556163808
33	0.9542673387
34	0.9521099231
35	0.9491631143
36	0.9469286921
37	0.9438253621
38	0.9417315412
39	0.9405462766
40	0.9380424268
41	0.9367610748
42	0.9333891848
43	0.9316390674
44	0.930607539
45	0.9298448346
46	0.9278675026
47	0.9258081434
48	0.9242802604
49	0.9224929425
50	0.9200674183
51	0.917991883
52	0.9160096974
53	0.9147438406
54	0.9134744474
55	0.9125009038
56	0.9100545388
57	0.9087232869
58	0.9074416445
59	0.9062657629
60	0.9042953449
61	0.9036375859
62	0.9022725886
63	0.900010741
64	0.8978413617
65	0.8965950177
66	0.8960381983
67	0.8955131278
68	0.8937444318
69	0.892396873
70	0.8911273242
71	0.8896323341
72	0.8890946434
73	0.8881558432
74	0.8872723939
75	0.8867897195
76	0.8856641455
77	0.884134601
78	0.883447995
79	0.8823118678
80	0.8815337187
81	0.8797690199
82	0.8786173245
83	0.8777689703
84	0.8758690274
85	0.8743876978
86	0.8739812541
87	0.8730943802
88	0.8723463195
89	0.8712927305
90	0.8706106652
91	0.8697846266
92	0.8681996543
93	0.8676507475
94	0.8653474829
95	0.8645845532
96	0.8630355574
97	0.8623994303
98	0.8616188038
99	0.8610114446
100	0.8601867277
101	0.8596087546
102	0.8590116703
103	0.8585308366
104	0.8575764789
105	0.8571191732
106	0.8557890689
107	0.855106993
108	0.8538684748
109	0.8534457825
110	0.8530134249
111	0.8525274628
112	0.8517230298
113	0.8503705006
114	0.8490317309
115	0.8484087936
116	0.8471401993
117	0.8466554763
118	0.8454054022
119	0.8446635514
120	0.843143234
121	0.8424573311
122	0.8400928199
123	0.8394191051
124	0.8376646755
125	0.8371926249
126	0.8364935149
127	0.8356807477
128	0.8345896796
129	0.8337737688
130	0.8331233051
131	0.8318751146
132	0.8300956054
133	0.82945901
134	0.8289539804
135	0.8270416225
136	0.8252623485
137	0.8243879995
138	0.8221562243
139	0.8215201454
140	0.8193325362
141	0.8187632687
142	0.8179903381
143	0.817018658
144	0.8163127714
145	0.8152476596
146	0.814724656
147	0.8129363776
148	0.8114322157
149	0.8092196521
150	0.8088649731
151	0.8070685467
152	0.8062753184
153	0.804997645
154	0.8040531667
155	0.8034304508
156	0.8025843541
157	0.8011648144
158	0.7993962361
159	0.7986925129
160	0.7975866748
161	0.7970642252
162	0.795551536
163	0.7940555462
164	0.7933405546
165	0.7921932837
166	0.7909450354
167	0.7903891009
168	0.7895456924
169	0.7886255636
170	0.7874371121
171	0.7856016031
172	0.7847570173
173	0.7833674573
174	0.7820177753
175	0.7810729783
176	0.7801527801
177	0.7793483378
178	0.7778033405
179	0.7763271075
180	0.7753633625
181	0.7737370372
182	0.7725712487
183	0.7711648816
184	0.7697045
185	0.7682954448
186	0.7670657696
187	0.7658328165
188	0.7645904657
189	0.764033105
190	0.7625619263
191	0.7618205354
192	0.7608764734
193	0.7599554703
194	0.7593486727
195	0.7584890914
196	0.7578185805
197	0.7571741687
198	0.7560102762
199	0.755424744
