iter	Passed	Remaining
0	1078	214607
1	1769	175220
2	2687	176482
3	3359	164630
4	3902	152207
5	4460	144238
6	4940	136227
7	5427	130260
8	5978	126885
9	6410	121802
10	6848	117669
11	7238	113406
12	7660	110196
13	8038	106795
14	8477	104558
15	8853	101814
16	9204	99088
17	9576	96826
18	9911	94423
19	10296	92666
20	10671	90963
21	11049	89403
22	11430	87964
23	11820	86682
24	11947	83629
25	11986	80217
26	12030	77083
27	12077	74189
28	12136	71563
29	12190	69076
30	12230	66677
31	12272	64432
32	12314	62318
33	12352	60310
34	12392	58423
35	12438	56665
36	12483	54996
37	12536	53447
38	12584	51951
39	12625	50503
40	12667	49124
41	12706	47801
42	12755	46574
43	12825	45472
44	12874	44344
45	12921	43259
46	12973	42231
47	13018	41226
48	13059	40244
49	13101	39304
50	13142	38395
51	13203	37579
52	13264	36790
53	13306	35976
54	13352	35202
55	13392	34437
56	13434	33703
57	13476	32995
58	13517	32303
59	13557	31635
60	13602	30996
61	13663	30412
62	13714	29824
63	13756	29232
64	13797	28656
65	13838	28095
66	13877	27547
67	13920	27021
68	13969	26522
69	14041	26077
70	14084	25590
71	14125	25111
72	14166	24646
73	14207	24191
74	14249	23749
75	14289	23314
76	14331	22892
77	14384	22498
78	14430	22102
79	14471	21706
80	14512	21321
81	14554	20944
82	14594	20573
83	14654	20236
84	14715	19908
85	14764	19570
86	14812	19238
87	14859	18911
88	14900	18583
89	14939	18259
90	14979	17942
91	15024	17637
92	15096	17369
93	15152	17086
94	15195	16794
95	15235	16505
96	15275	16220
97	15317	15942
98	15358	15668
99	15399	15399
100	15439	15134
101	15493	14886
102	15556	14650
103	15602	14401
104	15646	14155
105	15690	13913
106	15731	13673
107	15786	13447
108	15834	13219
109	15876	12990
110	15932	12774
111	15989	12562
112	16029	12341
113	16069	12122
114	16109	11906
115	16150	11695
116	16192	11486
117	16232	11280
118	16274	11077
119	16321	10880
120	16367	10686
121	16409	10491
122	16450	10298
123	16489	10106
124	16530	9918
125	16574	9734
126	16629	9558
127	16670	9376
128	16709	9196
129	16749	9019
130	16791	8844
131	16831	8670
132	16872	8499
133	16912	8330
134	16954	8163
135	16994	7997
136	17033	7833
137	17074	7671
138	17114	7510
139	17154	7351
140	17229	7209
141	17295	7064
142	17335	6909
143	17376	6757
144	17417	6606
145	17456	6456
146	17497	6308
147	17540	6162
148	17580	6017
149	17655	5885
150	17724	5751
151	17766	5610
152	17808	5470
153	17848	5331
154	17887	5193
155	17927	5056
156	17967	4921
157	18007	4786
158	18078	4661
159	18146	4536
160	18186	4405
161	18225	4275
162	18265	4146
163	18306	4018
164	18347	3891
165	18387	3766
166	18427	3641
167	18491	3522
168	18564	3405
169	18608	3283
170	18649	3162
171	18688	3042
172	18727	2922
173	18768	2804
174	18808	2686
175	18849	2570
176	18923	2459
177	18982	2346
178	19023	2231
179	19064	2118
180	19104	2005
181	19145	1893
182	19187	1782
183	19227	1671
184	19268	1562
185	19314	1453
186	19359	1345
187	19401	1238
188	19441	1131
189	19481	1025
190	19521	919
191	19602	816
192	19665	713
193	19708	609
194	19756	506
195	19807	404
196	19853	302
197	19901	201
198	19953	100
199	20036	0
