iter	MultiClass
0	1.089768315
1	1.080695094
2	1.073103309
3	1.066438635
4	1.059206091
5	1.051835593
6	1.046046792
7	1.039553065
8	1.033624162
9	1.029061357
10	1.024475945
11	1.018607971
12	1.013210609
13	1.009558852
14	1.005440622
15	1.000837177
16	0.9960103715
17	0.9925338519
18	0.9879634924
19	0.9840701756
20	0.9795197142
21	0.9761736559
22	0.9722914918
23	0.9690285606
24	0.9662183684
25	0.9630101333
26	0.9598166854
27	0.9573746027
28	0.9534192572
29	0.9510261129
30	0.9480904371
31	0.9455216605
32	0.9428966037
33	0.940773316
34	0.9380166451
35	0.935946717
36	0.9338314339
37	0.9316722808
38	0.9279994332
39	0.9246880138
40	0.9221597454
41	0.9191893723
42	0.9178096677
43	0.9157420911
44	0.9129103822
45	0.9107835174
46	0.90861937
47	0.9070336069
48	0.9045757265
49	0.9029771471
50	0.9011414789
51	0.8988058959
52	0.8965443974
53	0.8939632192
54	0.8920135239
55	0.8899301316
56	0.8881293944
57	0.8860061722
58	0.8843951724
59	0.8828505723
60	0.8807204888
61	0.8793192333
62	0.8778576951
63	0.8757749935
64	0.8745574232
65	0.8732274778
66	0.8714141919
67	0.8698640815
68	0.8685462808
69	0.8668986185
70	0.8648123599
71	0.8636213558
72	0.8616911868
73	0.8600564818
74	0.8589868659
75	0.8572823974
76	0.8557476066
77	0.8547962386
78	0.853850887
79	0.851929091
80	0.8504542197
81	0.8482901232
82	0.8465211488
83	0.8446119681
84	0.8428885497
85	0.8411890005
86	0.8392209234
87	0.8368902837
88	0.8354497819
89	0.8338628197
90	0.8325973099
91	0.8313902138
92	0.8298595193
93	0.828715129
94	0.8277498189
95	0.8269820826
96	0.825841062
97	0.8241076471
98	0.8228665634
99	0.8209937828
100	0.8195910788
101	0.8185807638
102	0.8172784148
103	0.8161894419
104	0.8141165092
105	0.8129246233
106	0.8117694822
107	0.8104855064
108	0.8088159554
109	0.8079995438
110	0.8067815955
111	0.8059160443
112	0.8051497039
113	0.8041636531
114	0.8029830497
115	0.8021661182
116	0.8006646008
117	0.7996180045
118	0.798611243
119	0.7971262892
120	0.7956097579
121	0.7941350188
122	0.7929695129
123	0.7921846484
124	0.7906206136
125	0.7894529687
126	0.7875614987
127	0.7862386778
128	0.7848589099
129	0.7838477881
130	0.783046868
131	0.7822181158
132	0.7812755577
133	0.7805421871
134	0.7792817272
135	0.7782218771
136	0.7767713196
137	0.7757908956
138	0.7744809794
139	0.7736372526
140	0.7722872972
141	0.7710183308
142	0.7702229504
143	0.7695933696
144	0.7683734623
145	0.7672907571
146	0.7662932615
147	0.7650958673
148	0.7639014804
149	0.7627663806
150	0.7614781181
151	0.7601711928
152	0.7590756419
153	0.7583768684
154	0.7572946832
155	0.7560301621
156	0.755060472
157	0.7542864211
158	0.7528978833
159	0.7517827345
160	0.7503783941
161	0.7492615937
162	0.7486407507
163	0.7472486472
164	0.7460340342
165	0.7449589828
166	0.7441329964
167	0.7432978312
168	0.7421266447
169	0.7411053801
170	0.7404707918
171	0.7395964475
172	0.7386432979
173	0.7376046075
174	0.7363774517
175	0.7356085021
176	0.734615565
177	0.7333851023
178	0.7321650408
179	0.7310924458
180	0.7301556052
181	0.7289570631
182	0.7282764785
183	0.7277735501
184	0.7270534811
185	0.7261485586
186	0.7252289972
187	0.7244442641
188	0.7237715401
189	0.7226116501
190	0.7217772765
191	0.721048438
192	0.7203903354
193	0.7197865617
194	0.7189945187
195	0.7180418455
196	0.71712231
197	0.7159950661
198	0.7148414052
199	0.7139481538
