iter	Passed	Remaining
0	17	3402
1	33	3324
2	47	3114
3	61	2995
4	73	2862
5	84	2719
6	96	2656
7	121	2926
8	168	3569
9	187	3561
10	198	3412
11	210	3303
12	222	3195
13	234	3112
14	245	3028
15	260	2995
16	272	2930
17	284	2875
18	299	2849
19	311	2799
20	322	2752
21	334	2707
22	353	2717
23	365	2681
24	377	2643
25	388	2602
26	401	2572
27	415	2549
28	427	2520
29	440	2497
30	453	2472
31	467	2453
32	482	2442
33	496	2422
34	509	2399
35	522	2380
36	534	2354
37	546	2331
38	559	2310
39	573	2294
40	586	2275
41	600	2259
42	614	2241
43	629	2230
44	642	2211
45	654	2190
46	666	2170
47	680	2156
48	695	2143
49	707	2122
50	750	2194
51	805	2293
52	836	2319
53	849	2296
54	861	2272
55	876	2253
56	890	2233
57	908	2223
58	922	2203
59	936	2185
60	949	2163
61	964	2147
62	980	2131
63	993	2111
64	1006	2090
65	1019	2069
66	1035	2054
67	1049	2037
68	1062	2016
69	1075	1997
70	1088	1978
71	1102	1960
72	1119	1947
73	1154	1965
74	1186	1977
75	1223	1996
76	1255	2005
77	1271	1988
78	1287	1971
79	1303	1954
80	1317	1934
81	1333	1919
82	1347	1900
83	1361	1880
84	1375	1861
85	1389	1841
86	1402	1822
87	1416	1803
88	1431	1784
89	1443	1764
90	1458	1746
91	1471	1727
92	1485	1708
93	1498	1690
94	1512	1672
95	1525	1653
96	1539	1634
97	1561	1624
98	1592	1624
99	1626	1626
100	1659	1626
101	1675	1609
102	1690	1592
103	1707	1575
104	1722	1558
105	1740	1543
106	1754	1525
107	1768	1506
108	1782	1488
109	1797	1470
110	1812	1453
111	1827	1435
112	1841	1417
113	1854	1398
114	1867	1380
115	1881	1362
116	1894	1343
117	1908	1326
118	1921	1308
119	1937	1291
120	1952	1274
121	1984	1268
122	2014	1261
123	2050	1256
124	2078	1247
125	2096	1231
126	2110	1213
127	2127	1196
128	2142	1179
129	2156	1161
130	2171	1143
131	2187	1127
132	2202	1109
133	2216	1091
134	2234	1076
135	2249	1058
136	2263	1040
137	2276	1022
138	2290	1005
139	2306	988
140	2322	971
141	2335	954
142	2348	936
143	2362	918
144	2376	901
145	2395	885
146	2408	868
147	2425	852
148	2437	834
149	2450	816
150	2463	799
151	2476	782
152	2489	764
153	2506	748
154	2529	734
155	2546	718
156	2568	703
157	2581	686
158	2593	668
159	2606	651
160	2620	634
161	2633	617
162	2648	601
163	2668	585
164	2681	568
165	2707	554
166	2722	537
167	2736	521
168	2749	504
169	2762	487
170	2774	470
171	2794	454
172	2819	440
173	2863	427
174	2889	412
175	2918	397
176	2951	383
177	2967	366
178	2983	350
179	2996	332
180	3009	315
181	3023	299
182	3036	282
183	3050	265
184	3065	248
185	3083	232
186	3096	215
187	3110	198
188	3124	181
189	3138	165
190	3152	148
191	3165	131
192	3179	115
193	3192	98
194	3214	82
195	3237	66
196	3261	49
197	3275	33
198	3288	16
199	3301	0
