iter	MultiClass
0	1.097312343
1	1.095947321
2	1.09454855
3	1.093200995
4	1.092012827
5	1.090619552
6	1.089171831
7	1.087858865
8	1.086605845
9	1.085123526
10	1.083990974
11	1.082676411
12	1.081301757
13	1.080051119
14	1.07876715
15	1.077455268
16	1.076341439
17	1.075241042
18	1.073951786
19	1.072799238
20	1.071715807
21	1.070495999
22	1.069318716
23	1.068231397
24	1.067239171
25	1.066104566
26	1.065192607
27	1.064176919
28	1.063192109
29	1.062289916
30	1.061322126
31	1.060318681
32	1.05959851
33	1.058652417
34	1.057642516
35	1.056539212
36	1.055534245
37	1.054554829
38	1.05351229
39	1.052681399
40	1.051789064
41	1.050828667
42	1.049860532
43	1.048877537
44	1.04804478
45	1.047180137
46	1.046209402
47	1.045339839
48	1.044535771
49	1.04363818
50	1.042723546
51	1.041955164
52	1.041031716
53	1.040109241
54	1.039296697
55	1.038421375
56	1.03770283
57	1.036849136
58	1.03601088
59	1.035164703
60	1.034401434
61	1.033532206
62	1.032700981
63	1.031868087
64	1.031063678
65	1.030332924
66	1.029536987
67	1.028655426
68	1.02785149
69	1.027208097
70	1.026382434
71	1.025601685
72	1.02463781
73	1.023701008
74	1.023021402
75	1.02221189
76	1.021459039
77	1.020618849
78	1.019836273
79	1.019111957
80	1.018372686
81	1.017672626
82	1.017052982
83	1.016369103
84	1.015633478
85	1.014952953
86	1.014279028
87	1.01368081
88	1.013183531
89	1.012498025
90	1.011806493
91	1.011165264
92	1.010510484
93	1.009775032
94	1.009145717
95	1.008386875
96	1.007763102
97	1.007141782
98	1.006612288
99	1.006027467
100	1.005316895
101	1.004542485
102	1.003871735
103	1.003230984
104	1.002717269
105	1.002104839
106	1.001397468
107	1.000749225
108	1.00023479
109	0.9994566386
110	0.9987197872
111	0.9981883782
112	0.9974926853
113	0.9969045814
114	0.9962924235
115	0.9957360772
116	0.9951567215
117	0.9945902642
118	0.993999033
119	0.9934338003
120	0.9928831449
121	0.9923255597
122	0.9917533239
123	0.991114122
124	0.9904487454
125	0.9898450828
126	0.9893288793
127	0.9888431284
128	0.9883123475
129	0.9876986858
130	0.9870572397
131	0.9867012305
132	0.986138663
133	0.9856123923
134	0.9849925803
135	0.9844581369
136	0.983825493
137	0.9833080848
138	0.9826763669
139	0.9822392366
140	0.9817444221
141	0.9811490059
142	0.9806395985
143	0.9800693594
144	0.9795489694
145	0.9790021243
146	0.9784242666
147	0.977904757
148	0.9774538561
149	0.9769135364
150	0.9763903057
151	0.9759741347
152	0.9753782294
153	0.9747622355
154	0.9742889591
155	0.973791006
156	0.9732321967
157	0.9728012613
158	0.9723302208
159	0.9718591762
160	0.9711988182
161	0.9707197405
162	0.9702670516
163	0.9698372959
164	0.9693418175
165	0.9690257905
166	0.9683669528
167	0.9678713901
168	0.9674720346
169	0.9669951185
170	0.9663279963
171	0.9657715227
172	0.9653955732
173	0.9649172211
174	0.9644737375
175	0.9640285561
176	0.9635581973
177	0.9632118883
178	0.9626948188
179	0.9622476381
180	0.9617357293
181	0.9612508212
182	0.9606983602
183	0.9602358906
184	0.9595747895
185	0.9591174112
186	0.9585828186
187	0.9582060411
188	0.9578222247
189	0.957391311
190	0.9569151625
191	0.956493708
192	0.9560693405
193	0.955612061
194	0.9550492908
195	0.9545927888
196	0.9541749688
197	0.9536790671
198	0.9531665734
199	0.9527423929
200	0.9524287264
201	0.9520023843
202	0.9514998593
203	0.9510855639
204	0.9507046505
205	0.9502920675
206	0.9498411395
207	0.9493467694
208	0.9489284906
209	0.9484005345
210	0.9479584485
211	0.9475203899
212	0.9471961456
213	0.9467456889
214	0.946349277
215	0.9459102146
216	0.945381468
217	0.9449503312
218	0.9445764643
219	0.9441459757
220	0.9437899852
221	0.9433791169
222	0.9428606922
223	0.9424944911
224	0.9421190874
225	0.9416763396
226	0.9411094134
227	0.9407360584
228	0.9404288719
229	0.939899257
230	0.9395687865
231	0.9392106869
232	0.9388638651
233	0.9384820712
234	0.9378593039
235	0.9373966086
236	0.9370340886
237	0.9365622864
238	0.9361407922
239	0.9357967017
240	0.9354200181
241	0.9350684362
242	0.9347190273
243	0.9343528145
244	0.9340458527
245	0.9335945079
246	0.933055618
247	0.9327815998
248	0.9324184974
249	0.9320931938
250	0.9318451312
251	0.9315046502
252	0.931094084
253	0.9307455646
254	0.9303655996
255	0.9301219536
256	0.9297877828
257	0.9294892434
258	0.9290721563
259	0.928690546
260	0.9282051478
261	0.9277311385
262	0.9272730403
263	0.9268411777
264	0.9265094431
265	0.9261583037
266	0.9256893669
267	0.9253977132
268	0.9250605099
269	0.9246790566
270	0.9242583792
271	0.9239338051
272	0.9235269249
273	0.9231948209
274	0.9228398516
275	0.9224843435
276	0.9220378992
277	0.9215672399
278	0.9212746394
279	0.9209094683
280	0.9204178365
281	0.9201099522
282	0.9198012862
283	0.9193380778
284	0.9188907744
285	0.9184901562
286	0.9181145709
287	0.917732679
288	0.9173634527
289	0.9170164253
290	0.9165974628
291	0.9162721422
292	0.9158819936
293	0.9154736316
294	0.9151353707
295	0.9148131956
296	0.9144735958
297	0.9140622659
298	0.9137566946
299	0.9134557791
300	0.9131613797
301	0.9127453618
302	0.9123665178
303	0.9120177955
304	0.9115090173
305	0.911171505
306	0.9108227272
307	0.9105334753
308	0.9102267664
309	0.9099043302
310	0.9095302246
311	0.9092629282
312	0.9089332209
313	0.9087074031
314	0.9083104138
315	0.9080903596
316	0.9077997348
317	0.9075116647
318	0.9071121914
319	0.9068632117
320	0.9065183797
321	0.9060981809
322	0.9057372145
323	0.9053673046
324	0.9050275212
325	0.9047496858
326	0.9044141521
327	0.904076193
328	0.9036415175
329	0.9031544734
330	0.9028813361
331	0.9026298163
332	0.9022672683
333	0.9019577565
334	0.901632935
335	0.9012392367
336	0.9010436892
337	0.9006924072
338	0.900494268
339	0.9002513344
340	0.8999939952
341	0.899684152
342	0.8993639361
343	0.8990275598
344	0.8987592614
345	0.8984457279
346	0.8981003893
347	0.897742778
348	0.897415784
349	0.8971762596
350	0.8968477086
351	0.8965517707
352	0.8962144626
353	0.8958088915
354	0.8955054945
355	0.8951961443
356	0.8948796508
357	0.8946846654
358	0.8943773304
359	0.8939633212
360	0.8937247014
361	0.8933559627
362	0.8930177695
363	0.892746986
364	0.8924611346
365	0.8920384319
366	0.8917557763
367	0.8915296433
368	0.8913484411
369	0.8910585889
370	0.8906129219
371	0.8902589196
372	0.889941646
373	0.8897441266
374	0.8895133861
375	0.8892679558
376	0.8889295227
377	0.8887418156
378	0.8884805652
379	0.8881651638
380	0.8878272821
381	0.8874287417
382	0.8872027648
383	0.8869131311
384	0.8864876258
385	0.8862643351
386	0.885802068
387	0.8855971083
388	0.8853323911
389	0.884989997
390	0.8845973121
391	0.8843001923
392	0.8840774563
393	0.8838185771
394	0.8834889922
395	0.8832504275
396	0.8828050112
397	0.8825431588
398	0.8822469196
399	0.8820001726
400	0.8817691046
401	0.88155866
402	0.8812543892
403	0.8808984721
404	0.8806337916
405	0.8803555182
406	0.8801049504
407	0.8798377212
408	0.8796463667
409	0.8792459159
410	0.878866887
411	0.8786925215
412	0.8784796878
413	0.8781857223
414	0.8779805803
415	0.8777871715
416	0.8774892572
417	0.8772181894
418	0.8769326492
419	0.8766185309
420	0.8764000186
421	0.8761111983
422	0.8758587063
423	0.8754317457
424	0.8751124319
425	0.8749255659
426	0.8747152061
427	0.8744323987
428	0.8742392498
429	0.873898098
430	0.8735419369
431	0.8732138395
432	0.872936265
433	0.8725571639
434	0.8723127875
435	0.8720298482
436	0.8718577801
437	0.871552417
438	0.8712460335
439	0.8710337873
440	0.8707200809
441	0.8704391287
442	0.8702087681
443	0.8698990832
444	0.8695599083
445	0.8693138646
446	0.8691277994
447	0.8688782436
448	0.86860388
449	0.8684043706
450	0.868158786
451	0.8679477622
452	0.8675290701
453	0.8672937038
454	0.8670366476
455	0.8667856439
456	0.8664830332
457	0.8661568174
458	0.8659587605
459	0.865738533
460	0.8655068405
461	0.8652093645
462	0.8648997946
463	0.8645627811
464	0.8642883278
465	0.8640493744
466	0.8637343534
467	0.8635428894
468	0.8633093301
469	0.8629344836
470	0.862778497
471	0.8624642364
472	0.8622096115
473	0.8619524263
474	0.8616859626
475	0.8614807983
476	0.8612293116
477	0.8610424574
478	0.8607732214
479	0.8605440318
480	0.8602540699
481	0.8600579945
482	0.8598366687
483	0.8596062988
484	0.8593280805
485	0.8591052332
486	0.8588425491
487	0.8585215912
488	0.8582270283
489	0.85804213
490	0.8578671605
491	0.8575958236
492	0.8572920926
493	0.8569347852
494	0.8566331107
495	0.856407112
496	0.8560842786
497	0.8558138313
498	0.8556034148
499	0.8554396146
500	0.8552566491
501	0.855074558
502	0.8547873142
503	0.8545354926
504	0.8542815992
505	0.8540391982
506	0.8537622184
507	0.8534990459
508	0.8532581462
509	0.8529996536
510	0.8528204131
511	0.8525680047
512	0.8523452434
513	0.8520038477
514	0.8517824734
515	0.8514915072
516	0.8512647518
517	0.8509787149
518	0.8507777102
519	0.850555602
520	0.8503321773
521	0.850033631
522	0.8497568812
523	0.8494822276
524	0.8491444365
525	0.8489373738
526	0.8487493105
527	0.8484885187
528	0.8482550758
529	0.8479537798
530	0.847630317
531	0.8474174987
532	0.8472347057
533	0.8470235261
534	0.8468487109
535	0.8466890921
536	0.8464611336
537	0.8462159723
538	0.8459102239
539	0.8457280615
540	0.8455670892
541	0.8453879277
542	0.8452091692
543	0.844912761
544	0.8446797225
545	0.8444876257
546	0.8442947985
547	0.8440142413
548	0.8437914066
549	0.8435979299
550	0.8432989519
551	0.8430287647
552	0.8427537459
553	0.8424908267
554	0.8421994721
555	0.8420346264
556	0.8419093248
557	0.8416168205
558	0.8414391826
559	0.8412294623
560	0.840958544
561	0.8407851205
562	0.8404647937
563	0.8403121037
564	0.8400820818
565	0.8399701602
566	0.839828873
567	0.839595301
568	0.8393773527
569	0.8391086721
570	0.8389732293
571	0.8387356392
572	0.8385341639
573	0.8382580448
574	0.838108477
575	0.8378737028
576	0.837582415
577	0.8373621254
578	0.8371289094
579	0.8369113053
580	0.836756939
581	0.8365424916
582	0.8363564226
583	0.836203588
584	0.8360333158
585	0.8357920452
586	0.8356243854
587	0.835406127
588	0.835203569
589	0.8349769501
590	0.8347809173
591	0.8345651949
592	0.8343411033
593	0.8341170084
594	0.8338947123
595	0.8336493463
596	0.8334381746
597	0.8333073384
598	0.833118138
599	0.8329216516
600	0.8326762268
601	0.8325331367
602	0.8323465448
603	0.8321164855
604	0.8319040885
605	0.831734867
606	0.8315354871
607	0.8312930241
608	0.8311053876
609	0.8308711335
610	0.8307160219
611	0.8305100145
612	0.830225367
613	0.8299318273
614	0.8297269719
615	0.8294839314
616	0.8293289202
617	0.8291283978
618	0.8289137985
619	0.828681039
620	0.8284820289
621	0.8282146474
622	0.8280587751
623	0.8277942842
624	0.8275673924
625	0.8274154033
626	0.8271933502
627	0.8270462566
628	0.8268593173
629	0.8266267219
630	0.8263113742
631	0.8261384665
632	0.8259468998
633	0.8257445223
634	0.8255544329
635	0.8253811455
636	0.8251097462
637	0.8249512023
638	0.824713377
639	0.8245574853
640	0.8243438931
641	0.8241760347
642	0.8239694711
643	0.8237768028
644	0.8236471703
645	0.8235003436
646	0.8232706734
647	0.823032374
648	0.8228358382
649	0.8225282556
650	0.8223169289
651	0.822061902
652	0.8218173794
653	0.8215114795
654	0.8213026727
655	0.8210836528
656	0.8209016929
657	0.8206732711
658	0.8204760692
659	0.8202960354
660	0.8201200718
661	0.8199021118
662	0.8197612355
663	0.819537091
664	0.8194439845
665	0.8192214246
666	0.8189538828
667	0.8187114559
668	0.8185109914
669	0.8182742003
670	0.81810043
671	0.8179227357
672	0.8177064298
673	0.8175595253
674	0.8174085567
675	0.8172106263
676	0.8169431417
677	0.8167655964
678	0.8165286752
679	0.8163491245
680	0.8160913955
681	0.8158847387
682	0.8156631852
683	0.815475812
684	0.8152674328
685	0.8150668124
686	0.8149030463
687	0.8146772102
688	0.8145032162
689	0.8142189045
690	0.8139888548
691	0.8137881567
692	0.8135875847
693	0.8133706121
694	0.8132762576
695	0.8130623954
696	0.8128936011
697	0.8127212522
698	0.8125665212
699	0.8123131367
700	0.8120995778
701	0.8119016606
702	0.8117341522
703	0.8115365933
704	0.8113819067
705	0.8110969851
706	0.8108605995
707	0.8107164865
708	0.8105131897
709	0.81029684
710	0.810092226
711	0.8099241829
712	0.8097488632
713	0.809555682
714	0.8093431057
715	0.8091692321
716	0.8090256212
717	0.8088157651
718	0.8085675486
719	0.8083846586
720	0.8080620088
721	0.8078881202
722	0.8076818554
723	0.8075182196
724	0.8073084491
725	0.8071354631
726	0.8069326162
727	0.8068050716
728	0.8066468265
729	0.8064361876
730	0.8063016639
731	0.8060918856
732	0.8058890286
733	0.8057476514
734	0.8055830114
735	0.8053349746
736	0.8051210467
737	0.8049314445
738	0.8047913336
739	0.8046098347
740	0.8044227017
741	0.804245684
742	0.8040197491
743	0.8038965399
744	0.8037264977
745	0.8035607535
746	0.8034431763
747	0.8032599441
748	0.8030762478
749	0.8028678333
750	0.80263057
751	0.8024617141
752	0.8023098182
753	0.8021609813
754	0.8019798793
755	0.8017697396
756	0.8016508155
757	0.8014363987
758	0.8012022578
759	0.8010794485
760	0.8009009167
761	0.8007589855
762	0.8006124464
763	0.8004117369
764	0.8002189093
765	0.7999505019
766	0.7997764226
767	0.7996434966
768	0.7994853479
769	0.799293581
770	0.7990540479
771	0.7989452041
772	0.798714017
773	0.7985951283
774	0.7984571683
775	0.7982002379
776	0.7980374902
777	0.7977781338
778	0.7975935808
779	0.7973556607
780	0.7972161323
781	0.7970638424
782	0.796901096
783	0.7966862425
784	0.7965085236
785	0.7963290045
786	0.796159726
787	0.7959517937
788	0.7958130197
789	0.7956123556
790	0.7954861539
791	0.7952933805
792	0.7951268976
793	0.7949649154
794	0.7947409671
795	0.794533672
796	0.794377855
797	0.7942110383
798	0.7939968408
799	0.7938636137
800	0.7936965639
801	0.7935287078
802	0.7933729607
803	0.7931408865
804	0.7930225104
805	0.792910987
806	0.7927604848
807	0.7925521053
808	0.7923586837
809	0.792164672
810	0.7919409335
811	0.7917792206
812	0.7915461662
813	0.7913048329
814	0.7911557173
815	0.7909415486
816	0.7907922302
817	0.7904844532
818	0.7903530578
819	0.7902541722
820	0.7901333941
821	0.7899650155
822	0.7897473592
823	0.7895350611
824	0.7893403925
825	0.789184243
826	0.7889551619
827	0.7888537842
828	0.788676645
829	0.7884490389
830	0.788332154
831	0.7881788679
832	0.7880293471
833	0.7878607089
834	0.7876048514
835	0.7873778814
836	0.787202854
837	0.7870626033
838	0.78694455
839	0.7868081219
840	0.7866312539
841	0.7864549186
842	0.7863290112
843	0.7861433574
844	0.7859134407
845	0.7857629067
846	0.785595246
847	0.7854479645
848	0.7852534083
849	0.7850372527
850	0.7849362367
851	0.7847159081
852	0.7845558022
853	0.7843365803
854	0.7841135824
855	0.7839177967
856	0.7838011949
857	0.7836458015
858	0.7835112969
859	0.783331873
860	0.7831357405
861	0.7829567328
862	0.7827977989
863	0.7826058068
864	0.7824384634
865	0.7823279106
866	0.7821430177
867	0.7819513548
868	0.7817773272
869	0.7816426349
870	0.7815221616
871	0.7813927891
872	0.7811811745
873	0.781014298
874	0.7808113555
875	0.7806437418
876	0.7804358692
877	0.7802800242
878	0.7801686579
879	0.7799769192
880	0.7798665755
881	0.7797064751
882	0.7795724083
883	0.7793717509
884	0.779234783
885	0.779097138
886	0.7789338536
887	0.7787840455
888	0.7785920716
889	0.7784080577
890	0.7782331332
891	0.7780858909
892	0.7779106706
893	0.7776832154
894	0.7774672848
895	0.7772890791
896	0.7771601664
897	0.7770287596
898	0.7768412932
899	0.7767155281
900	0.7765551696
901	0.77641265
902	0.7761989674
903	0.7760527949
904	0.7758928704
905	0.7757393796
906	0.7756041032
907	0.7754105377
908	0.7753015207
909	0.7751617733
910	0.774995424
911	0.7748798008
912	0.7747563565
913	0.7745300964
914	0.7743085302
915	0.7740997658
916	0.7739724901
917	0.7738426222
918	0.7737489639
919	0.7735889954
920	0.7734632083
921	0.7732930334
922	0.7731415528
923	0.7729612518
924	0.7727528885
925	0.7726978808
926	0.7726118554
927	0.7724309624
928	0.7722833703
929	0.7721591422
930	0.7719440454
931	0.771756829
932	0.7716391118
933	0.7715159966
934	0.7712828488
935	0.7711155485
936	0.7709111431
937	0.7707076597
938	0.7705088243
939	0.7703070633
940	0.7700606271
941	0.7699493232
942	0.7697773711
943	0.7696026014
944	0.7694044733
945	0.7692511528
946	0.7691131415
947	0.7689581529
948	0.7687941554
949	0.7686283495
950	0.7684765871
951	0.7683482622
952	0.76821161
953	0.76805338
954	0.7679085032
955	0.7677984076
956	0.7676615199
957	0.7674210472
958	0.7672701001
959	0.7670988327
960	0.7669573294
961	0.7667239215
962	0.7665026846
963	0.7663611976
964	0.7662045303
965	0.7660658342
966	0.7659358526
967	0.7657824197
968	0.7656028537
969	0.7654596755
970	0.7653678865
971	0.7652395495
972	0.7651544062
973	0.7649229824
974	0.764770012
975	0.7646209441
976	0.7644558171
977	0.7642626371
978	0.764122193
979	0.7639737481
980	0.7638410998
981	0.7636802012
982	0.7634845099
983	0.7632914669
984	0.7631418021
985	0.7629708604
986	0.7628132641
987	0.7626380844
988	0.7624551022
989	0.7622984759
990	0.7621268
991	0.761989502
992	0.761880798
993	0.7617958573
994	0.7616577326
995	0.7614756322
996	0.7613503392
997	0.7612073579
998	0.7611058485
999	0.7610113351
1000	0.7608181495
1001	0.7606947582
1002	0.7604750072
1003	0.7603509956
1004	0.7602012299
1005	0.7600793235
1006	0.7599006686
1007	0.7596977124
1008	0.7595610763
1009	0.759366099
1010	0.7592321671
1011	0.7590441956
1012	0.7588477791
1013	0.7587045716
1014	0.7584988514
1015	0.75838522
1016	0.7582707053
1017	0.7581581819
1018	0.7580480567
1019	0.7579272375
1020	0.7577234039
1021	0.7575742527
1022	0.7573466439
1023	0.7572070843
1024	0.7570262009
1025	0.756799623
1026	0.7566008968
1027	0.7564561833
1028	0.756279569
1029	0.7561480087
1030	0.7560553415
1031	0.7559391097
1032	0.7557367772
1033	0.7555244358
1034	0.7553400217
1035	0.7552534998
1036	0.7550828335
1037	0.7548957195
1038	0.754766524
1039	0.7546188687
1040	0.754504027
1041	0.7543162237
1042	0.7541293975
1043	0.7539765302
1044	0.7538183811
1045	0.7536605484
1046	0.7535542212
1047	0.7534241327
1048	0.7532884891
1049	0.7530654688
1050	0.75290012
1051	0.7527313411
1052	0.7525518642
1053	0.7524441522
1054	0.7522840013
1055	0.7521592858
1056	0.7520488233
1057	0.7518865918
1058	0.7517484981
1059	0.7516455912
1060	0.7514260318
1061	0.7513103428
1062	0.751125197
1063	0.7509761575
1064	0.7508068909
1065	0.7506850962
1066	0.7505860314
1067	0.7504670075
1068	0.7502522968
1069	0.7501101896
1070	0.7498743938
1071	0.7497017516
1072	0.7495069649
1073	0.7493851627
1074	0.7492121104
1075	0.7490845672
1076	0.7489693677
1077	0.7488090825
1078	0.7486519743
1079	0.748499604
1080	0.7483793104
1081	0.7482326228
1082	0.7480620119
1083	0.7479311074
1084	0.7477587181
1085	0.7475891286
1086	0.7474514354
1087	0.7472737283
1088	0.747122675
1089	0.7469439251
1090	0.7467399679
1091	0.746597547
1092	0.7463802759
1093	0.7462221885
1094	0.745999451
1095	0.7458663615
1096	0.745669372
1097	0.745489552
1098	0.7454281692
1099	0.7452364446
1100	0.7451189346
1101	0.7449846816
1102	0.7447799946
1103	0.7446316529
1104	0.7445741458
1105	0.7444366232
1106	0.7442676793
1107	0.7441392834
1108	0.7439968875
1109	0.743851488
1110	0.7436921916
1111	0.743494763
1112	0.7433714815
1113	0.7432152093
1114	0.7430460541
1115	0.7429208921
1116	0.7427358696
1117	0.7425955752
1118	0.7424361233
1119	0.7423562916
1120	0.7421564903
1121	0.7420264109
1122	0.7419132454
1123	0.741787323
1124	0.741637562
1125	0.7415453578
1126	0.7414297206
1127	0.7412675907
1128	0.7411191357
1129	0.7409010203
1130	0.7407366466
1131	0.7405732047
1132	0.7403827159
1133	0.7402514369
1134	0.7401014945
1135	0.7399432846
1136	0.7397960874
1137	0.7396782413
1138	0.7395843666
1139	0.7394643357
1140	0.7393298142
1141	0.739197495
1142	0.7390434749
1143	0.7388917728
1144	0.7386968053
1145	0.7385494761
1146	0.7384118183
1147	0.7382688543
1148	0.7381230443
1149	0.7379707626
1150	0.7377975698
1151	0.7376548586
1152	0.7375006212
1153	0.7373087103
1154	0.737199343
1155	0.7370564872
1156	0.7368376451
1157	0.7367156636
1158	0.736583742
1159	0.736446989
1160	0.7362854891
1161	0.7361808708
1162	0.7360424895
1163	0.7358903479
1164	0.735761012
1165	0.735578594
1166	0.7354336346
1167	0.735282386
1168	0.7351113183
1169	0.7350144265
1170	0.7348288435
1171	0.7346324271
1172	0.734484704
1173	0.7343010942
1174	0.7341148316
1175	0.7339767193
1176	0.7338398395
1177	0.7337414465
1178	0.733600443
1179	0.7335020867
1180	0.7333280464
1181	0.7331266887
1182	0.7329998164
1183	0.7328674522
1184	0.7327394712
1185	0.732565025
1186	0.7324687187
1187	0.7323360935
1188	0.7321950924
1189	0.7320834956
1190	0.7319201594
1191	0.7317469273
1192	0.7315570835
1193	0.7313869123
1194	0.7312132189
1195	0.7310686288
1196	0.7309428509
1197	0.7308448352
1198	0.7306542999
1199	0.7305566967
1200	0.7304200282
1201	0.7303240258
1202	0.7301322211
1203	0.7299255147
1204	0.7297650828
1205	0.7296322951
1206	0.7294593388
1207	0.7292649937
1208	0.729143136
1209	0.7290133854
1210	0.7287979151
1211	0.7286446001
1212	0.728488583
1213	0.7283752931
1214	0.7282438296
1215	0.7281079015
1216	0.727961256
1217	0.7277950764
1218	0.7276764768
1219	0.7275759582
1220	0.7273953921
1221	0.7272283226
1222	0.7270338601
1223	0.7267943515
1224	0.7266296035
1225	0.7264982232
1226	0.7263434501
1227	0.7262007819
1228	0.726011775
1229	0.7259100371
1230	0.7257651291
1231	0.7256354125
1232	0.725500207
1233	0.725332722
1234	0.7252174097
1235	0.725064497
1236	0.7249342859
1237	0.7248289298
1238	0.72469766
1239	0.7245057057
1240	0.7243722459
1241	0.7242596419
1242	0.72410698
1243	0.7239307577
1244	0.723829423
1245	0.7236714164
1246	0.723505109
1247	0.7233688326
1248	0.7232335776
1249	0.7230340904
1250	0.7229202523
1251	0.7227832024
1252	0.7225853748
1253	0.7224567886
1254	0.7222749534
1255	0.722087241
1256	0.7219238543
1257	0.7218038551
1258	0.7216434673
1259	0.7214713621
1260	0.7212894056
1261	0.7211669749
1262	0.7210325581
1263	0.7208866593
1264	0.7206932816
1265	0.7205693229
1266	0.7204185438
1267	0.7202445702
1268	0.7200593924
1269	0.7199324664
1270	0.7198428038
1271	0.7197655249
1272	0.7195908723
1273	0.7194746331
1274	0.7193089881
1275	0.7191479515
1276	0.7190045853
1277	0.7188784424
1278	0.7187324834
1279	0.7185741578
1280	0.7184075453
1281	0.7182512285
1282	0.7181164398
1283	0.7179737597
1284	0.7178731286
1285	0.7177802177
1286	0.71764541
1287	0.7175161353
1288	0.7173642742
1289	0.717209326
1290	0.7170859345
1291	0.7169977423
1292	0.7168460226
1293	0.7167453128
1294	0.7165468898
1295	0.7164058289
1296	0.7162614748
1297	0.716085271
1298	0.7159563962
1299	0.7158259389
1300	0.71566832
1301	0.7155272353
1302	0.7154195741
1303	0.71527612
1304	0.7151508221
1305	0.7150112834
1306	0.7148574314
1307	0.71478115
1308	0.7147025992
1309	0.7145941568
1310	0.7144542941
1311	0.7143285701
1312	0.7142124497
1313	0.7140811547
1314	0.7139555699
1315	0.713759574
1316	0.7136560987
1317	0.7135114439
1318	0.7133906756
1319	0.7132092261
1320	0.7130815245
1321	0.7129794847
1322	0.7128505122
1323	0.712781527
1324	0.7126559056
1325	0.71251108
1326	0.7123809149
1327	0.7122897439
1328	0.7121640167
