iter	MultiClass
0	1.086805556
1	1.075124053
2	1.064416329
3	1.054590469
4	1.045414895
5	1.039851093
6	1.031006772
7	1.02353858
8	1.017316355
9	1.01203448
10	1.006849113
11	1.002551326
12	0.9995746395
13	0.9935697495
14	0.991806914
15	0.9847383913
16	0.9801787611
17	0.9770810126
18	0.9731869138
19	0.9694724127
20	0.9660579952
21	0.9609101692
22	0.9575597161
23	0.9521085457
24	0.9495860655
25	0.945918023
26	0.9411454668
27	0.9364111346
28	0.9343740369
29	0.9317197293
30	0.9279382156
31	0.9252784327
32	0.9211776112
33	0.9164196594
34	0.9126171921
35	0.9101892624
36	0.908484732
37	0.9054599401
38	0.9031339501
39	0.9016161244
40	0.8993243541
41	0.8973246943
42	0.8964332613
43	0.8956489256
44	0.8922130342
45	0.8910507364
46	0.8904745572
47	0.8887700064
48	0.8881532936
49	0.884948314
50	0.8839387607
51	0.883033401
52	0.8808288602
53	0.8779911832
54	0.8770216432
55	0.8755979581
56	0.87327661
57	0.8711030767
58	0.8703584726
59	0.8690394437
60	0.8664266556
61	0.8645918037
62	0.8637946084
63	0.8628580348
64	0.8610742078
65	0.859306824
66	0.8570085427
67	0.8552218277
68	0.8536057417
69	0.8513219534
70	0.8505453777
71	0.8498139393
72	0.8487465467
73	0.8480874563
74	0.8473390403
75	0.8460601413
76	0.8439799382
77	0.8430952301
78	0.8417033722
79	0.8403492352
80	0.837791679
81	0.8364580768
82	0.83440498
83	0.8320512167
84	0.8313961262
85	0.8295138385
86	0.8261857888
87	0.8241016917
88	0.8222687485
89	0.8212715982
90	0.8194303178
91	0.8160252995
92	0.8142210828
93	0.8113484223
94	0.8094248553
95	0.8074629714
96	0.8062703674
97	0.8050914281
98	0.8028157937
99	0.80202595
100	0.7998028983
101	0.799022247
102	0.797399558
103	0.7955798501
104	0.7934795285
105	0.7926241148
106	0.7917958244
107	0.7912926304
108	0.7901596183
109	0.788903338
110	0.7878798333
111	0.7856514786
112	0.7838284966
113	0.7825528218
114	0.7813146901
115	0.7789611836
116	0.7774395788
117	0.7761263221
118	0.7733533522
119	0.77218948
120	0.7707066407
121	0.7696868073
122	0.7679216528
123	0.7670773371
124	0.76585328
125	0.7648738852
126	0.7634217502
127	0.7615796256
128	0.7609386266
129	0.7597375068
130	0.7568627832
131	0.7556474102
132	0.7543693023
133	0.7537731765
134	0.7529624032
135	0.7519764394
136	0.7509987031
137	0.7489349873
138	0.7468256355
139	0.7451157073
140	0.7435664565
141	0.7426618758
142	0.7421789437
143	0.7405024305
144	0.7397385309
145	0.7390024744
146	0.7374885564
147	0.7359252376
148	0.7351483406
149	0.7345031702
150	0.7335968997
151	0.7324792296
152	0.730058417
153	0.7286428841
154	0.7274122685
155	0.7264047034
156	0.7255503583
157	0.7245185884
158	0.7224049185
159	0.7216784021
160	0.720673066
161	0.7197088458
162	0.719235515
163	0.7178611578
164	0.7172238259
165	0.7160723312
166	0.7155047438
167	0.7148664372
168	0.7141896643
169	0.7136449176
170	0.7124070619
171	0.7116590414
172	0.7099074076
173	0.7090813976
174	0.7082816517
175	0.7074745716
176	0.7060889807
177	0.7043453675
178	0.7027510348
179	0.7020946635
