iter	Passed	Remaining
0	204	36569
1	372	33196
2	476	28132
3	575	25321
4	721	25260
5	883	25632
6	988	24437
7	1100	23671
8	1251	23771
9	1388	23601
10	1522	23387
11	1682	23558
12	1824	23435
13	1937	22969
14	2061	22674
15	2196	22516
16	2300	22053
17	2432	21888
18	2593	21979
19	2707	21663
20	2880	21807
21	3015	21653
22	3148	21491
23	3293	21409
24	3426	21241
25	3566	21122
26	3702	20982
27	3871	21019
28	4044	21057
29	4222	21113
30	4389	21099
31	4530	20954
32	4673	20817
33	4812	20665
34	4933	20440
35	5060	20240
36	5210	20138
37	5410	20219
38	5546	20054
39	5682	19889
40	5837	19791
41	5982	19656
42	6155	19610
43	6342	19604
44	6488	19464
45	6647	19365
46	6770	19160
47	6888	18942
48	7042	18826
49	7191	18697
50	7302	18470
51	7411	18243
52	7537	18061
53	7669	17895
54	7788	17700
55	7987	17685
56	8211	17720
57	8340	17544
58	8493	17418
59	8669	17338
60	8807	17182
61	8971	17075
62	9086	16874
63	9187	16653
64	9292	16440
65	9420	16270
66	9575	16149
67	9697	15973
68	9807	15777
69	9936	15614
70	10034	15405
71	10140	15210
72	10238	15006
73	10378	14866
74	10486	14680
75	10590	14492
76	10699	14312
77	10857	14197
78	10954	14005
79	11068	13835
80	11182	13667
81	11288	13490
82	11390	13311
83	11548	13197
84	11679	13054
85	11786	12882
86	11925	12748
87	12056	12604
88	12164	12438
89	12278	12278
90	12432	12159
91	12545	12000
92	12653	11837
93	12785	11697
94	12897	11539
95	12995	11371
96	13093	11203
97	13185	11032
98	13277	10863
99	13434	10747
100	13547	10596
101	13635	10427
102	13730	10264
103	13873	10138
104	14002	10001
105	14095	9840
106	14190	9681
107	14303	9535
108	14423	9395
109	14517	9238
110	14769	9181
111	14921	9059
112	15064	8931
113	15181	8789
114	15317	8657
115	15442	8520
116	15550	8373
117	15654	8225
118	15762	8080
119	15877	7938
120	15992	7798
121	16108	7657
122	16275	7542
123	16378	7396
124	16517	7267
125	16694	7154
126	16802	7011
127	16913	6871
128	17023	6730
129	17118	6583
130	17220	6441
131	17342	6306
132	17443	6164
133	17589	6038
134	17692	5897
135	17794	5757
136	17905	5619
137	18036	5489
138	18133	5348
139	18224	5207
140	18322	5067
141	18449	4937
142	18542	4797
143	18648	4662
144	18791	4535
145	18917	4405
146	19015	4268
147	19124	4135
148	19258	4006
149	19392	3878
150	19499	3745
151	19674	3624
152	19815	3496
153	19923	3363
154	20022	3229
155	20152	3100
156	20280	2971
157	20401	2840
158	20565	2716
159	20700	2587
160	20810	2455
161	20896	2321
162	20984	2188
163	21095	2058
164	21226	1929
165	21309	1797
166	21412	1666
167	21508	1536
168	21668	1410
169	21748	1279
170	21846	1149
171	21937	1020
172	22175	897
173	22323	769
174	22454	641
175	22579	513
176	22690	384
177	22788	256
178	22892	127
179	23014	0
