iter	MultiClass
0	1.086172558
1	1.07416431
2	1.062550401
3	1.052114027
4	1.045131736
5	1.03467874
6	1.026361771
7	1.019190909
8	1.013186868
9	1.006440073
10	0.9996990813
11	0.9940353129
12	0.9892095392
13	0.9845423995
14	0.9784376026
15	0.9725941118
16	0.9687336566
17	0.9654796331
18	0.9603995776
19	0.9551181972
20	0.9511676407
21	0.9466491343
22	0.9435759463
23	0.9408863064
24	0.937868836
25	0.9334791839
26	0.930831093
27	0.9255928317
28	0.9227946418
29	0.9182705415
30	0.9152473142
31	0.9128063134
32	0.9092712279
33	0.9051426466
34	0.9014892041
35	0.8980781022
36	0.8947392402
37	0.8913632735
38	0.8890476643
39	0.8858597291
40	0.8825816905
41	0.8800936359
42	0.8767095056
43	0.8736717746
44	0.8693498874
45	0.866846997
46	0.8636928175
47	0.8607985856
48	0.8581204758
49	0.8556541555
50	0.8534293543
51	0.8508674011
52	0.8487132828
53	0.8463707983
54	0.8439366405
55	0.8414249284
56	0.8394638852
57	0.8378688268
58	0.8352661097
59	0.8331637127
60	0.8309891712
61	0.8292824825
62	0.8265538371
63	0.8235360223
64	0.8221147838
65	0.8201358849
66	0.8176157672
67	0.8160883677
68	0.814091498
69	0.8125057074
70	0.8105040043
71	0.8087833984
72	0.8070842358
73	0.8051474779
74	0.803375611
75	0.8018314284
76	0.7998479122
77	0.7980231307
78	0.796097179
79	0.7946626568
80	0.7932313208
81	0.7920245243
82	0.7903864046
83	0.7885957803
84	0.7868690814
85	0.7853246467
86	0.7835511721
87	0.7817371208
88	0.7797919682
89	0.7784292654
90	0.7763898773
91	0.774218536
92	0.7722929072
93	0.7702499687
94	0.7691546451
95	0.7681371128
96	0.7663061867
97	0.7648903573
98	0.7630652985
99	0.7618340714
100	0.7595040686
101	0.7582232618
102	0.7566963961
103	0.7553879868
104	0.7537634286
105	0.7518875215
106	0.7505182949
107	0.7489062558
108	0.7470400434
109	0.7454008483
110	0.7441331973
111	0.7425872079
112	0.7413585306
113	0.7396220473
114	0.7379844061
115	0.7369876679
116	0.7354439076
117	0.7341335499
118	0.7329836171
119	0.7313977846
120	0.7294389225
121	0.728547577
122	0.7268314022
123	0.7249465916
124	0.7238752208
125	0.7218685823
126	0.7200403668
127	0.7186091362
128	0.717509807
129	0.7164399808
130	0.7152057441
131	0.71389236
132	0.7125929845
133	0.7112267043
134	0.7096224293
135	0.7084298494
136	0.7071037434
137	0.7057819727
138	0.7044857219
139	0.703680347
140	0.7025312405
141	0.7013602973
142	0.7002074555
143	0.698694743
144	0.6972997176
145	0.6957520136
146	0.6942462914
147	0.6929619929
148	0.6918652864
149	0.6905221416
150	0.6895310336
151	0.6881880373
152	0.6866629545
153	0.685556087
154	0.6844291979
155	0.6835380417
156	0.6828283185
157	0.6818342313
158	0.6809108836
159	0.6793156451
160	0.678084154
161	0.6769035185
162	0.6761839906
163	0.6748528781
164	0.6739073839
165	0.672898495
166	0.6717734497
167	0.6704046285
168	0.6692646948
169	0.6679870727
170	0.666941025
171	0.6660709005
172	0.6649943581
173	0.6643791485
174	0.6635853568
175	0.6625896524
176	0.6616334684
177	0.6608041748
178	0.6599045624
179	0.6586739783
