iter	Passed	Remaining
0	36	6461
1	70	6231
2	101	5960
3	125	5530
4	153	5365
5	190	5518
6	250	6185
7	333	7176
8	369	7019
9	433	7362
10	504	7745
11	565	7916
12	604	7762
13	713	8457
14	795	8750
15	844	8654
16	887	8511
17	927	8349
18	985	8347
19	1040	8327
20	1101	8337
21	1195	8586
22	1265	8641
23	1307	8497
24	1344	8336
25	1388	8223
26	1425	8080
27	1486	8072
28	1548	8063
29	1587	7939
30	1625	7811
31	1655	7658
32	1691	7534
33	1726	7414
34	1762	7300
35	1800	7202
36	1837	7099
37	1887	7051
38	1946	7035
39	1977	6920
40	2015	6834
41	2063	6781
42	2100	6693
43	2155	6663
44	2196	6589
45	2231	6500
46	2271	6429
47	2301	6327
48	2334	6241
49	2375	6176
50	2411	6099
51	2442	6011
52	2471	5923
53	2502	5839
54	2540	5773
55	2579	5711
56	2625	5665
57	2662	5599
58	2689	5515
59	2716	5433
60	2749	5364
61	2781	5293
62	2820	5238
63	2853	5172
64	2888	5111
65	2921	5046
66	2974	5015
67	3017	4970
68	3067	4934
69	3101	4874
70	3133	4811
71	3176	4764
72	3299	4836
73	3332	4774
74	3366	4713
75	3403	4657
76	3441	4603
77	3477	4547
78	3510	4488
79	3544	4430
80	3593	4392
81	3662	4377
82	3738	4368
83	3775	4315
84	3819	4268
85	3855	4214
86	3896	4165
87	3937	4115
88	3974	4063
89	4018	4018
90	4049	3960
91	4098	3920
92	4180	3911
93	4235	3874
94	4262	3813
95	4379	3832
96	4454	3811
97	4518	3780
98	4566	3736
99	4608	3686
100	4651	3638
101	4686	3583
102	4749	3550
103	4831	3530
104	4871	3479
105	4900	3421
106	4936	3367
107	4981	3321
108	5052	3290
109	5133	3266
110	5197	3230
111	5237	3179
112	5283	3132
113	5333	3087
114	5385	3043
115	5518	3044
116	5585	3007
117	5641	2964
118	5707	2925
119	5754	2877
120	5785	2821
121	5819	2766
122	5852	2712
123	5925	2676
124	5978	2630
125	6024	2581
126	6059	2528
127	6093	2475
128	6143	2428
129	6180	2377
130	6209	2322
131	6242	2269
132	6280	2219
133	6374	2188
134	6430	2143
135	6463	2090
136	6495	2038
137	6526	1986
138	6573	1938
139	6607	1887
140	6633	1834
141	6666	1783
142	6704	1734
143	6750	1687
144	6799	1641
145	6832	1591
146	6877	1543
147	6903	1492
148	6934	1442
149	6988	1397
150	7034	1350
151	7084	1305
152	7140	1260
153	7198	1215
154	7264	1171
155	7320	1126
156	7359	1078
157	7386	1028
158	7478	987
159	7583	947
160	7725	911
161	7845	871
162	7927	826
163	7985	779
164	8059	732
165	8122	685
166	8182	636
167	8243	588
168	8344	543
169	8430	495
170	8510	447
171	8555	397
172	8596	347
173	8624	297
174	8659	247
175	8718	198
176	8773	148
177	8823	99
178	8883	49
179	8925	0
