iter	Passed	Remaining
0	15	157720
1	34	171070
2	50	167999
3	62	156286
4	74	148811
5	85	141698
6	96	137062
7	106	132917
8	116	129781
9	129	129072
10	142	129722
11	156	130362
12	164	126681
13	174	124796
14	182	121764
15	194	121603
16	205	120731
17	216	120298
18	226	118919
19	234	117144
20	244	116101
21	253	114913
22	261	113456
23	271	112751
24	279	111501
25	288	110796
26	296	109701
27	306	109333
28	315	108321
29	324	107714
30	332	106896
31	340	106174
32	351	106054
33	359	105466
34	369	105117
35	377	104442
36	386	104042
37	394	103519
38	404	103249
39	416	103767
40	427	103737
41	436	103471
42	444	102930
43	453	102640
44	461	102142
45	471	101998
46	479	101568
47	488	101294
48	496	100871
49	505	100607
50	514	100353
51	524	100259
52	533	100117
53	541	99771
54	550	99557
55	558	99178
56	567	99003
57	576	98753
58	585	98571
59	593	98342
60	602	98234
61	610	97930
62	621	98085
63	630	97881
64	640	97848
65	649	97717
66	657	97424
67	666	97305
68	674	97054
69	683	96942
70	691	96695
71	700	96599
72	708	96367
73	717	96300
74	726	96074
75	736	96180
76	744	95970
77	752	95781
78	761	95665
79	770	95506
80	778	95387
81	787	95191
82	795	95087
83	804	94965
84	814	95063
85	823	94907
86	832	94854
87	841	94749
88	851	94860
89	860	94766
90	869	94666
91	878	94594
92	886	94419
93	895	94394
94	903	94232
95	913	94222
96	921	94056
97	931	94081
98	938	93903
99	950	94138
100	959	94060
101	967	93904
102	976	93857
103	984	93715
104	994	93682
105	1002	93527
106	1011	93514
107	1019	93389
108	1028	93315
109	1037	93238
110	1047	93330
111	1057	93370
112	1065	93236
113	1073	93133
114	1082	93013
115	1090	92938
116	1098	92813
117	1107	92734
118	1118	92845
119	1130	93046
120	1140	93143
121	1151	93213
122	1160	93218
123	1169	93149
124	1178	93129
125	1187	93028
126	1195	92965
127	1203	92836
128	1214	92934
129	1224	92951
130	1232	92840
131	1241	92797
132	1249	92689
133	1259	92709
134	1268	92664
135	1277	92688
136	1287	92716
137	1295	92612
138	1304	92552
139	1312	92436
140	1320	92363
141	1328	92255
142	1337	92181
143	1345	92078
144	1354	92035
145	1364	92086
146	1373	92083
147	1381	91981
148	1390	91959
149	1398	91854
150	1408	91844
